,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전체,958000,1134000,1294000,1454000,1611000,1777000,1967000,2105000,2247000,2430000,2512000,2519000,2511000,2501000,2494000,2490000,2511000,2546000,2586000,2618000,2633000,2645000,2648000,2641000
지체장애,682000,755000,814000,883000,959000,1049000,1114000,1191000,1293000,1334000,1333000,1322000,1309000,1296000,1281000,1267000,1254000,1239000,1223000,1207000,1191000,1174000,1153000,
시각장애,91000,116000,136000,153000,170000,168000,206000,217000,228000,241000,249000,251000,252000,253000,253000,253000,252000,253000,253000,253000,252000,252000,250000,248000
"청각,언어",87000,106000,124000,139000,155000,188000,199000,218000,239000,262000,277000,279000,276000,273000,271000,269000,291000,322000,363000,398000,418000,435000,447000,454000
지적장애,95000,104000,112000,119000,174000,135000,143000,147000,155000,161000,167000,173000,179000,184000,190000,195000,201000,207000,213000,217000,222000,225000,229000,
뇌병변장애,33000,65000,92000,116000,143000,127000,194000,215000,232000,252000,262000,261000,258000,253000,251000,251000,251000,253000,253000,252000,250000,248000,244000,240000
자폐성장애,3000,4000,6000,8000,9000,11000,12000,13000,14000,15000,16000,17000,18000,20000,21000,23000,24000,26000,29000,31000,34000,37000,42000,
정신장애,24000,33000,39000,47000,54000,63000,75000,82000,87000,95000,96000,95000,95000,96000,97000,99000,100000,101000,102000,103000,104000,104000,104000,104000
신장장애,23000,28000,32000,35000,38000,42000,45000,48000,50000,54000,57000,60000,63000,67000,70000,74000,79000,84000,88000,92000,98000,102000,105000,108000
심장장애,5000,7000,9000,10000,12000,13000,14000,14000,15000,15000,13000,10000,8000,7000,6000,6000,6000,6000,5000,5000,5000,5000,5000,4000
호흡기장애,,,7000,10000,12000,13000,14000,15000,16000,16000,15000,14000,13000,12000,12000,12000,12000,12000,12000,12000,12000,11000,11000,
간장애,,,3000,4000,5000,6000,6000,7000,8000,8000,8000,9000,9000,10000,10000,11000,11000,13000,13000,14000,14000,15000,15000,
안면장애,,,,1000,1000,1000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000,2000
"장루,요루장애",,,,7000,8000,10000,10000,11000,12000,12000,13000,13000,13000,14000,14000,14000,14000,15000,15000,15000,15000,16000,16000,17000
뇌전증장애,,,3000,5000,7000,8000,9000,9000,10000,10000,9000,8000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,6000,
